filepath,sounds
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250619_231318.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250622_221519.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250315_235100.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250619_063218.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250319_090600.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250626_092524.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250315_134400.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240306_163300.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250622_064019.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240307_173300.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250317_094200.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240307_214100.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/July_2024/20240721_130800.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250623_145119.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Feb_March_2024_Pavonas/20240228_045600.WAV,"{'bioph_cascading_saw', 'bioph_holocentrus'}"
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250320_080100.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240307_181500.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250320_145800.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250627_062816.WAV,"{'bioph_cascading_saw', 'bioph'}"
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250626_214115.WAV,{'bioph'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250626_183621.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Feb_March_2024_Pavonas/20240228_202300.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Feb_March_2024_Pavonas/20240228_121400.WAV,"{'bioph_cascading_saw', 'bioph_croak'}"
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/July_2024/20240724_121800.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250622_190519.WAV,{'bioph'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250316_100300.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250623_215517.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250628_065521.WAV,{'bioph_mycbon'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/July_2024/20240722_090400.WAV,"{'bioph_cascading_saw', 'bioph_knock_croak_b'}"
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250317_100900.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240306_223100.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/July_2024/20240718_195800.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250320_131600.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250624_205420.WAV,{'bioph_growl'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250627_103721.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250322_140500.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250625_232820.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250317_093300.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250626_143320.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Feb_March_2024_Pavonas/20240228_030300.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250314_210500.WAV,{'bioph_stridulation'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250622_090719.WAV,{'bioph'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Feb_March_2024_Pavonas/20240226_214800.WAV,"{'bioph', 'bioph_holocentrus'}"
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250619_194218.WAV,{'bioph_holocentrus'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250621_070818.WAV,"{'bioph_cascading_saw', 'bioph'}"
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Feb_March_2024_Pavonas/20240229_214500.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240306_053500.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250318_215700.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250321_092900.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/July_2024/20240718_095200.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/July_2024/20240718_104600.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Feb_March_2024_Pavonas/20240227_041900.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250619_073818.WAV,"{'bioph_damselfish', 'bioph_low_growl'}"
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/July_2024/20240718_152200.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250625_183923.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250318_080800.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240306_162100.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250322_082301.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240309_001400.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250316_213101.WAV,{'bioph'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/April_2024_Pavonas/20240309_005800.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250318_091100.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Degraded_Reef/Pavonas_June2025/20250622_135118.WAV,{'bioph_cascading_saw'}
/home/s.kamboj.400/unzipped-coral/Paola/Non_Degraded_Reef/May_2025/20250322_111000.WAV,{'bioph_cascading_saw'}
